Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
333,0.2248,0.2307,0.1775,0.0624,0.2399,2.2582,-0.1607
334,0.2381,0.2343,0.2080,0.0485,0.2564,2.7144,-0.0882
335,0.2332,0.2422,0.1989,0.0486,0.2475,2.7124,-0.1680
336,0.2369,0.2390,0.2245,0.0636,0.2880,2.5910,-0.1631
337,0.2272,0.2605,0.2399,0.0487,0.2887,2.5670,-0.1668
338,0.2284,0.2624,0.1758,0.0639,0.2397,2.2110,-0.1051
339,0.2284,0.2475,0.1898,0.0484,0.2382,2.4730,-0.1619
340,0.2356,0.2319,0.2153,0.0320,0.2474,2.9044,-0.1837
341,0.2272,0.2475,0.1765,0.0641,0.2405,2.3075,-0.1450
342,0.2356,0.2512,0.2083,0.0393,0.2476,2.9366,-0.1208
343,0.2296,0.2561,0.1918,0.0479,0.2397,2.5442,-0.1934
344,0.2296,0.2221,0.1916,0.0474,0.2390,2.5704,-0.1571
345,0.2332,0.2011,0.2087,0.0480,0.2567,2.7744,-0.1764
346,0.2320,0.2374,0.1934,0.0790,0.2724,2.3102,-0.1595
347,0.2296,0.1987,0.2064,0.0395,0.2459,2.6552,-0.1341
